source,target,weight
Katharyn Machan Aal,Piercy_Early Ripening_1987,1
Monica Aasprong,Dworkin_Against Expression_2011,1
Walter Abish,Dworkin_Against Expression_2011,1
Vito Acconci,UbuWeb,1
Vito Acconci,Carroll_The Young American Poets_1968,1
Vito Acconci,Dworkin_Against Expression_2011,1
Friedrich Achleitner,Williams_An Anthology of Concrete Poetry_1963,1
Kathy Acker,PennSound,1
Kathy Acker,UbuWeb,1
Kathy Acker,Dworkin_Against Expression_2011,1
Kathy Acker,Sloan_Moving Borders_1998,1
Diane Ackerman,Voca,1
Diane Ackerman,Smith_The Morrow Anthology_1985,1
Elmaz Abinader,Axelrod_Postmodernisms_2012,1
Helen Adam,PennSound,1
Helen Adam,Allen_The New American Poetry_1960,1
Helen Adam,Howe_No More Masks!_1973,1
Fleur Adcock,Richman_The Direction of Poetry_1988,1
Etel Adnan,PennSound,1
Etel Adnan,Swensen_American Hybrid_2009,1
Rick Agran,Costanzo_American Poetry_2000,1
Ai,Voca,1
Ai,Halpern_The New Poetry Anthology_1975,1
Ai,Nelson_Contemporary American Poetry_2015,1
Ai,Piercy_Early Ripening_1987,1
Ai,Ramazani_Contemporary Poetry_2003,1
Ai,Smith_The Morrow Anthology_1985,1
Sascha Akhtar,Critchley_Out of Everywhere 2_2015,1
Sally Alatalo,Dworkin_Against Expression_2011,1
Nanina Alba,Randall_For Malcolm_1969,1
Rosa Alcalá,Voca,1
Rosa Alcalá,Rankine_American Poets in the 21st Century_2018,1
Alta (Alta Gerrey),Howe_No More Masks!_1973,1
Daisy Aldan,Chester_Rising Tides_1973,1
Elizabeth Alexander,PennSound,1
Elizabeth Alexander,Costanzo_American Poetry_2000,1
Elizabeth Alexander,Finch_A Formal Feeling Comes_1994,1
Elizabeth Alexander,Jarman_Rebel Angels_1996,1
Lewis Alexander,Jordan_soulscript_1970,1
Will Alexander,PennSound,1
Will Alexander,Hoover_Postmodern American Poetry_2013,1
Sherman Alexie,Voca,1
Sherman Alexie,Axelrod_Postmodernisms_2012,1
Sherman Alexie,Costanzo_American Poetry_2000,1
Sherman Alexie,Nelson_Contemporary American Poetry_2015,1
Sherman Alexie,Prufer_The New Young American Poets_2000,1
Sherman Alexie,Ramazani_Contemporary Poetry_2003,1
Miguel Algarín,Hoover_Postmodern American Poetry_1994,1
Ahmed Legraham Alhamisi,Jones_Black Fire_1968,1
