name,type
Katharyn Machan Aal,member
Monica Aasprong,member
Walter Abish,member
Vito Acconci,member
Friedrich Achleitner,member
Kathy Acker,member
Diane Ackerman,member
Elmaz Abinader,member
Helen Adam,member
Fleur Adcock,member
Etel Adnan,member
Rick Agran,member
Ai,member
Sascha Akhtar,member
Sally Alatalo,member
Nanina Alba,member
Rosa Alcalá,member
Alta (Alta Gerrey),member
Daisy Aldan,member
Elizabeth Alexander,member
Lewis Alexander,member
Will Alexander,member
Sherman Alexie,member
Miguel Algarín,member
Ahmed Legraham Alhamisi,member
Agha Shahid Ali,member
Dick Allen,member
Samuel Allen,member
Rick Alley,member
Nell Altizer,member
Julia Alvarez,member
George Amabile,member
Johari Amini,member
Kingsley Amis,member
A. R. Ammons,member
Paal Bjelke Andersen,member
Alice Anderson,member
Charles Anderson,member
Daniel Anderson,member
Jon Anderson,member
S. E. Anderson,member
Bruce Andrews,member
Ralph Angel,member
Talvikki Ansel,member
Aaron Anstett,member
David Antin,member
Roger Aplon,member
James Applewhite,member
Stan Apps,member
Louis Aragon,member
Alain Arias-Misson,member
Rae Armantrout,member
Craig Arnold,member
H. C. Artmann,member
John Ashbery,member
Askia M. Touré (Rolland Snellings),member
Amy De'Ath,member
Russell Atkins,member
Margaret Atwood,member
Nathan Austin,member
Joseph Awad,member
Susan Axelrod,member
Ronaldo Azeredo,member
Jimmy Santiago Baca,member
David Baker,member
Kuwasi Balagon,member
Peter Balakian,member
J. G. Ballard,member
Mary Jo Bang,member
Stephen Bann,member
Fiona Banner,member
Barbara Baracks,member
Amiri Baraka (LeRoi Jones),member
David Baratier,member
Sharon Barba,member
David Barber,member
Rick Barot,member
Gerald William Barrax,member
Judith Barrington,member
Anita Barrows,member
Ellen Bass,member
Madeline Bass,member
Bruce Bawer,member
Dan Beachy-Quick,member
Ray A. Young Bear,member
Bruce Beasley,member
Paul Beatty,member
Derek Beaulieu,member
Phyllis Beauvais,member
Joshua Beckman,member
Samuel Beckett,member
Tom Beckett,member
Cal Bedient,member
Erin Belieu,member
Josh Bell,member
Marvin Bell,member
William Bell,member
Dodie Bellamy,member
Martine Bellen,member
Carlo Belloli,member
Molly Bendall,member
Michael Benedikt,member
Lawrence Benford,member
Dina Ben-Lev,member
Bob Bennett,member
Bruce Bennett,member
Louise Bennett,member
Max Bense,member
John Bensko,member
Steve Benson,member
Jasper Bernes,member
Stephen Berg,member
Jacqueline Berger,member
Caroline Bergvall,member
Bill Berkson,member
David Berman,member
Erica Bernheim,member
Alan Bernheimer,member
Carole Bernstein,member
Charles Bernstein,member
Ted Berrigan,member
John Berryman,member
Mei-mei Berssenbrugge,member
James Bertram,member
Jen Bervin,member
Lebert Bethune,member
Gregory Betts,member
Mark Bibbins,member
Hart Leroi Bibbs,member
Frank Bidart,member
David Biespiel,member
Elizabeth Bishop,member
Sherwin Bitsui,member
Austin Black,member
Isaac J. Black,member
Paul Blackburn,member
Brian Blanchfield,member
Richard Blanco,member
