source,target,weight
Vito Acconci,UbuWeb,1
Kathy Acker,PennSound,1
Kathy Acker,UbuWeb,1
Diane Ackerman,voca,1
Diane Ackerman,Smith_The Morrow Anthology_1985,1
Helen Adam,PennSound,1
Etel Adnan,PennSound,1
Ai,voca,1
Ai,Halpern_The New Poetry Anthology_1975,1
Ai,Smith_The Morrow Anthology_1985,1
Rosa Alcalá,voca,1
Elizabeth Alexander,PennSound,1
Elizabeth Alexander,Finch_A Formal Feeling Comes_1994,1
Elizabeth Alexander,Jarman_Rebel Angels_1996,1
Will Alexander,PennSound,1
Sherman Alexie,voca,1
Agha Shahid Ali,Elliston,1
Dick Allen,Elliston,1
Nell Altizer,Finch_A Formal Feeling Comes_1994,1
Julia Alvarez,Elliston,1
Julia Alvarez,Finch_A Formal Feeling Comes_1994,1
Julia Alvarez,Jarman_Rebel Angels_1996,1
Kingsley Amis,Hall_New Poets of England and America_1957,1
A. R. Ammons,McClatchy_Contemporary American Poetry_1990,1
A. R. Ammons,Vendler_Contemporary American Poetry_1985,1
Daniel Anderson,Elliston,1
Jon Anderson,voca,1
Jon Anderson,Dacey_Strong Measures_1986,1
Jon Anderson,Halpern_The New Poetry Anthology_1975,1
Jon Anderson,Smith_The Morrow Anthology_1985,1
Bruce Andrews,PennSound,1
David Antin,PennSound,1
David Antin,UbuWeb,1
Louis Aragon,UbuWeb,1
Rae Armantrout,PennSound,1
Rae Armantrout,voca,1
John Ashbery,Elliston,1
John Ashbery,PennSound,1
John Ashbery,UbuWeb,1
John Ashbery,voca,1
John Ashbery,Dacey_Strong Measures_1986,1
John Ashbery,McClatchy_Contemporary American Poetry_1990,1
John Ashbery,Vendler_Contemporary American Poetry_1985,1
Jimmy Santiago Baca,voca,1
David Baker,Elliston,1
David Baker,voca,1
David Baker,Dacey_Strong Measures_1986,1
David Baker,Smith_The Morrow Anthology_1985,1
Peter Balakian,Smith_The Morrow Anthology_1985,1
Mary Jo Bang,voca,1
Amiri Baraka (LeRoi Jones),PennSound,1
Amiri Baraka (LeRoi Jones),UbuWeb,1
Judith Barrington,voca,1
Judith Barrington,Finch_A Formal Feeling Comes_1994,1
Bruce Bawer,Jarman_Rebel Angels_1996,1
Dan Beachy-Quick,voca,1
Ray A. Young Bear,PennSound,1
Paul Beatty,Elliston,1
Joshua Beckman,voca,1
Samuel Beckett,UbuWeb,1
Cal Bedient,voca,1
Josh Bell,Elliston,1
Marvin Bell,voca,1
Marvin Bell,Dacey_Strong Measures_1986,1
Marvin Bell,Halpern_The New Poetry Anthology_1975,1
Marvin Bell,McClatchy_Contemporary American Poetry_1990,1
William Bell,Hall_New Poets of England and America_1957,1
Dodie Bellamy,PennSound,1
Martine Bellen,PennSound,1
Molly Bendall,Elliston,1
Michael Benedikt,Elliston,1
Michael Benedikt,UbuWeb,1
Michael Benedikt,Halpern_The New Poetry Anthology_1975,1
Bruce Bennett,Dacey_Strong Measures_1986,1
Louise Bennett,PennSound,1
John Bensko,Smith_The Morrow Anthology_1985,1
Steve Benson,PennSound,1
Caroline Bergvall,PennSound,1
Caroline Bergvall,UbuWeb,1
Caroline Bergvall,voca,1
Bill Berkson,PennSound,1
Alan Bernheimer,PennSound,1
Charles Bernstein,PennSound,1
Charles Bernstein,UbuWeb,1
Charles Bernstein,voca,1
Ted Berrigan,PennSound,1
Ted Berrigan,UbuWeb,1
John Berryman,Elliston,1
John Berryman,Dacey_Strong Measures_1986,1
John Berryman,McClatchy_Contemporary American Poetry_1990,1
