name,type
Vito Acconci,member
Kathy Acker,member
Diane Ackerman,member
Helen Adam,member
Etel Adnan,member
Ai,member
Rosa Alcalá,member
Elizabeth Alexander,member
Will Alexander,member
Sherman Alexie,member
Agha Shahid Ali,member
Dick Allen,member
Nell Altizer,member
Julia Alvarez,member
Kingsley Amis,member
A. R. Ammons,member
Daniel Anderson,member
Jon Anderson,member
Bruce Andrews,member
David Antin,member
Louis Aragon,member
Rae Armantrout,member
John Ashbery,member
Jimmy Santiago Baca,member
David Baker,member
Peter Balakian,member
Mary Jo Bang,member
Amiri Baraka (LeRoi Jones),member
Judith Barrington,member
Bruce Bawer,member
Dan Beachy-Quick,member
Ray A. Young Bear,member
Paul Beatty,member
Joshua Beckman,member
Samuel Beckett,member
Cal Bedient,member
Josh Bell,member
Marvin Bell,member
William Bell,member
Dodie Bellamy,member
Martine Bellen,member
Molly Bendall,member
Michael Benedikt,member
Bruce Bennett,member
Louise Bennett,member
John Bensko,member
Steve Benson,member
Caroline Bergvall,member
Bill Berkson,member
Alan Bernheimer,member
Charles Bernstein,member
Ted Berrigan,member
John Berryman,member
Mei-mei Berssenbrugge,member
James Bertram,member
Jen Bervin,member
Frank Bidart,member
Elizabeth Bishop,member
Sherwin Bitsui,member
Paul Blackburn,member
Brian Blanchfield,member
Robin Blaser,member
Chana Bloch,member
Ron Block,member
Michael Blumenthal,member
Robert Bly,member
Louise Bogan,member
Christian Bök,member
Eavan Boland,member
Philip Booth,member
Daniel Borzutzky,member
David Bottoms,member
Anne Boyer,member
Edgar Bowers,member
Kamau Brathwaite,member
George Brecht,member
John Bricuth,member
Van K. Brock,member
Jim Brodey,member
William Bronk,member
Gwendolyn Brooks,member
Nicole Brossard,member
Lee Ann Brown,member
Rosellen Brown,member
Sterling A. Brown,member
Laynie Browne,member
Michael Dennis Browne,member
Michael Brownstein,member
Debra Bruce,member
Sharon Bryan,member
Julia Budenz,member
Charles Bukowski,member
Michael Burkard,member
Stanley Burnshaw,member
William S. Burroughs,member
David Buuck,member
John Cage,member
Rafael Campo,member
Augusto de Campos,member
Haroldo de Campos,member
Melissa Cannon,member
Henri Chopin,member
Nick Carbó,member
Henry Carlile,member
Julie Carr,member
Hayden Carruth,member
Turner Cassity,member
Charles Causley,member
Joseph Ceravolo,member
