name,type,group
Katharyn Machan Aal,member,poet
Monica Aasprong,member,poet
Walter Abish,member,poet
Vito Acconci,member,poet
Friedrich Achleitner,member,poet
Kathy Acker,member,poet
Diane Ackerman,member,poet
Elmaz Abinader,member,poet
Helen Adam,member,poet
Fleur Adcock,member,poet
Etel Adnan,member,poet
Rick Agran,member,poet
Ai,member,poet
Sascha Akhtar,member,poet
Sally Alatalo,member,poet
Nanina Alba,member,poet
Rosa Alcalá,member,poet
Alta (Alta Gerrey),member,poet
Daisy Aldan,member,poet
Elizabeth Alexander,member,poet
Lewis Alexander,member,poet
Will Alexander,member,poet
Sherman Alexie,member,poet
Miguel Algarín,member,poet
Ahmed Legraham Alhamisi,member,poet
Agha Shahid Ali,member,poet
Dick Allen,member,poet
Samuel Allen,member,poet
Rick Alley,member,poet
Nell Altizer,member,poet
Julia Alvarez,member,poet
George Amabile,member,poet
Johari Amini,member,poet
Kingsley Amis,member,poet
A. R. Ammons,member,poet
Paal Bjelke Andersen,member,poet
Alice Anderson,member,poet
Charles Anderson,member,poet
Daniel Anderson,member,poet
Jon Anderson,member,poet
S. E. Anderson,member,poet
Bruce Andrews,member,poet
Ralph Angel,member,poet
Talvikki Ansel,member,poet
Aaron Anstett,member,poet
David Antin,member,poet
Roger Aplon,member,poet
James Applewhite,member,poet
Stan Apps,member,poet
Louis Aragon,member,poet
Alain Arias-Misson,member,poet
Rae Armantrout,member,poet
Craig Arnold,member,poet
H. C. Artmann,member,poet
John Ashbery,member,poet
Askia M. Touré (Rolland Snellings),member,poet
Amy De'Ath,member,poet
Russell Atkins,member,poet
Margaret Atwood,member,poet
Nathan Austin,member,poet
Joseph Awad,member,poet
Susan Axelrod,member,poet
Ronaldo Azeredo,member,poet
Jimmy Santiago Baca,member,poet
David Baker,member,poet
Kuwasi Balagon,member,poet
Peter Balakian,member,poet
J. G. Ballard,member,poet
Mary Jo Bang,member,poet
Stephen Bann,member,poet
Fiona Banner,member,poet
Barbara Baracks,member,poet
Amiri Baraka (LeRoi Jones),member,poet
David Baratier,member,poet
Sharon Barba,member,poet
David Barber,member,poet
Rick Barot,member,poet
Gerald William Barrax,member,poet
Judith Barrington,member,poet
Anita Barrows,member,poet
Ellen Bass,member,poet
Madeline Bass,member,poet
Bruce Bawer,member,poet
Dan Beachy-Quick,member,poet
Ray A. Young Bear,member,poet
Bruce Beasley,member,poet
Paul Beatty,member,poet
Derek Beaulieu,member,poet
Phyllis Beauvais,member,poet
Joshua Beckman,member,poet
Samuel Beckett,member,poet
Tom Beckett,member,poet
Cal Bedient,member,poet
Erin Belieu,member,poet
Josh Bell,member,poet
Marvin Bell,member,poet
William Bell,member,poet
Dodie Bellamy,member,poet
Martine Bellen,member,poet
Carlo Belloli,member,poet
Molly Bendall,member,poet
Michael Benedikt,member,poet
Lawrence Benford,member,poet
Dina Ben-Lev,member,poet
Bob Bennett,member,poet
Bruce Bennett,member,poet
Louise Bennett,member,poet
Max Bense,member,poet
John Bensko,member,poet
Steve Benson,member,poet
Jasper Bernes,member,poet
Stephen Berg,member,poet
Jacqueline Berger,member,poet
Caroline Bergvall,member,poet
Bill Berkson,member,poet
David Berman,member,poet
Erica Bernheim,member,poet
Alan Bernheimer,member,poet
Carole Bernstein,member,poet
Charles Bernstein,member,poet
Ted Berrigan,member,poet
John Berryman,member,poet
Mei-mei Berssenbrugge,member,poet
James Bertram,member,poet
Jen Bervin,member,poet
Lebert Bethune,member,poet
Gregory Betts,member,poet
Mark Bibbins,member,poet
Hart Leroi Bibbs,member,poet
Frank Bidart,member,poet
David Biespiel,member,poet
Elizabeth Bishop,member,poet
Sherwin Bitsui,member,poet
Austin Black,member,poet
Isaac J. Black,member,poet
Paul Blackburn,member,poet
Brian Blanchfield,member,poet
Richard Blanco,member,poet
Robin Blaser,member,poet
Randy Blasing,member,poet
Chana Bloch,member,poet
Ron Block,member,poet
Michael Blumenthal,member,poet
Robert Bly,member,poet
Louise Bogan,member,poet
Christian Bök,member,poet
Eavan Boland,member,poet
Joe Bolton,member,poet
Harold Bond,member,poet
Arna Bontemps,member,poet
Philip Booth,member,poet
Ebbe Borregaard,member,poet
Daniel Borzutzky,member,poet
David Bottoms,member,poet
Bruce Boyd,member,poet
Anne Boyer,member,poet
Kay Boyle,member,poet
Edgar Bowers,member,poet
Alison Brackenbury,member,poet
Walter Bradford,member,poet
Andrea Brady,member,poet
Anne Hazlewood Brady,member,poet
Edgard Braga,member,poet
Beth Brant,member,poet
Kamau Brathwaite,member,poet
Jodi Braxton,member,poet
George Brecht,member,poet
Claus Bremer,member,poet
Ray Bremser,member,poet
Summer Brenner,member,poet
Gaylord Brewer,member,poet
John Bricuth,member,poet
Besmilr Brigham,member,poet
Lucie Brock-Broido,member,poet
Van K. Brock,member,poet
Jim Brodey,member,poet
David Bromige,member,poet
William Bronk,member,poet
Edwin Brooks,member,poet
Gwendolyn Brooks,member,poet
Mary Pierce Brosmer,member,poet
Nicole Brossard,member,poet
Joel Brouwer,member,poet
Brandon Brown,member,poet
Earle Brown,member,poet
James Brown,member,poet
"Oscar Brown, Jr.",member,poet
Lee Ann Brown,member,poet
Rita Mae Brown,member,poet
Rosellen Brown,member,poet
Stephanie Brown,member,poet
Sterling A. Brown,member,poet
Laynie Browne,member,poet
Michael Dennis Browne,member,poet
Michael Brownstein,member,poet
James Broughton,member,poet
Debra Bruce,member,poet
Sharon Bryan,member,poet
Frederick J. Bryant,member,poet
Oni Buchanan,member,poet
Julianne Buchsbaum,member,poet
Marie Buck,member,poet
Julia Budenz,member,poet
Charles Bukowski,member,poet
Ed Bullins,member,poet
Carlos Bulosan,member,poet
Michael Burkard,member,poet
Elizabeth-Jane Burnett,member,poet
Stanley Burnshaw,member,poet
Margaret Burroughs,member,poet
William S. Burroughs,member,poet
Stephen Burt,member,poet
Lisa Buscani,member,poet
Grace Butcher,member,poet
Anthony Butts,member,poet
David Buuck,member,poet
Steph Byrd,member,poet
Mairéad Byrne,member,poet
Olga Cabral,member,poet
John Cage,member,poet
Marcella Caine,member,poet
Rafael Campo,member,poet
Augusto de Campos,member,poet
Haroldo de Campos,member,poet
Melissa Cannon,member,poet
Henri Chopin,member,poet
Nick Carbó,member,poet
Henry Carlile,member,poet
Jim Carpenter,member,poet
Julie Carr,member,poet
Jim Carroll,member,poet
Kenneth Carroll,member,poet
Paul Carroll,member,poet
Hayden Carruth,member,poet
Anne Carson,member,poet
Keith Cartwright,member,poet
Turner Cassity,member,poet
Ana Castillo,member,poet
Charles Causley,member,poet
